edad,ingresos_mensuales,antiguedad_laboral_anios,deuda_total,porcentaje_uso_credito,morosidad_12m,historial_crediticio,tipo_empleo,region,tiene_tarjeta,solicitante_nuevo,apto
22,2328,2,6556,51.6,0,regular,independiente,centro,1,1,0
58,1013,17,5779,48.6,0,bueno,dependiente,centro,1,0,1
52,1172,6,14904,32.7,2,bueno,dependiente,centro,0,0,0
40,7077,17,22822,44.5,1,bueno,dependiente,centro,1,0,0
40,1282,20,28454,32.5,0,malo,dependiente,centro,1,0,0
62,1410,25,20340,23.6,1,bueno,dependiente,centro,0,1,0
22,6115,14,7504,37.9,2,regular,dependiente,sur,1,0,0
54,10431,0,10372,22.9,0,malo,dependiente,centro,0,1,1
28,1359,8,13860,51.5,0,regular,independiente,metropolitana,1,1,0
22,2030,25,8820,22.0,0,bueno,dependiente,centro,1,1,1
45,2895,15,8880,59.2,0,regular,independiente,sur,1,0,1
68,5793,18,14424,21.4,1,bueno,independiente,norte,0,1,1
56,1490,13,7774,33.7,0,bueno,dependiente,centro,0,0,1
57,2159,4,4863,32.5,1,bueno,dependiente,norte,1,1,0
55,3600,26,6062,71.5,0,bueno,independiente,sur,0,1,1
58,3033,23,12629,51.6,1,bueno,independiente,centro,1,0,1
44,2022,29,8120,40.8,0,bueno,dependiente,metropolitana,1,1,1
24,2283,25,10282,55.0,0,bueno,dependiente,centro,1,1,1
61,1227,8,12953,2.9,1,bueno,independiente,centro,1,1,0
41,2167,7,6233,44.1,0,regular,independiente,centro,0,0,0
44,2136,7,13758,85.0,0,malo,dependiente,sur,1,1,0
37,2741,27,10564,47.6,0,bueno,dependiente,centro,0,0,1
27,1849,16,3414,46.4,1,regular,estudiante,centro,1,0,1
66,3090,13,22239,56.0,1,bueno,dependiente,centro,1,1,0
58,4050,29,5707,62.9,0,bueno,estudiante,norte,1,0,1
51,2638,18,2544,5.1,1,bueno,dependiente,norte,0,1,1
38,2910,27,3899,11.4,0,bueno,dependiente,metropolitana,1,0,1
60,2506,29,3965,49.2,1,bueno,dependiente,centro,1,0,1
46,2441,2,8404,30.7,0,bueno,dependiente,norte,1,0,1
41,1701,10,6690,71.2,1,bueno,desempleado,metropolitana,1,1,0
41,2859,22,6401,38.7,0,bueno,dependiente,norte,1,1,1
29,2325,24,12504,6.3,0,bueno,desempleado,centro,1,0,1
22,6951,4,10280,19.6,0,bueno,dependiente,sur,1,1,1
46,5360,9,10110,0.0,0,bueno,estudiante,metropolitana,1,0,1
64,2960,16,10795,40.3,1,bueno,desempleado,sur,1,1,1
21,1666,23,12473,41.2,1,bueno,independiente,centro,0,0,1
62,1399,3,1853,36.5,0,bueno,dependiente,metropolitana,0,1,1
61,4427,18,6279,66.6,0,bueno,independiente,norte,0,0,1
32,2783,8,1761,69.0,1,bueno,dependiente,metropolitana,1,0,0
50,3103,6,8310,41.6,0,malo,desempleado,metropolitana,1,1,1
26,1020,15,8077,2.3,1,bueno,dependiente,metropolitana,0,1,0
57,3880,12,16846,57.3,0,bueno,dependiente,centro,0,0,0
54,3063,19,18608,56.1,1,bueno,dependiente,norte,1,1,0
36,1401,9,9339,51.2,0,malo,independiente,sur,0,1,0
21,1928,24,5709,64.6,0,regular,desempleado,centro,0,0,1
68,2785,2,11380,21.7,0,regular,dependiente,centro,0,0,1
41,2505,25,5600,85.2,0,malo,independiente,metropolitana,1,1,0
64,2109,0,8095,25.8,1,bueno,desempleado,sur,0,1,0
53,2318,22,16160,60.0,2,malo,dependiente,centro,0,1,0
58,2152,10,5484,11.3,1,bueno,dependiente,centro,1,1,1
57,2634,11,14242,26.4,1,regular,independiente,norte,0,1,0
28,5094,0,13019,75.3,0,bueno,independiente,centro,0,1,1
